ISP_name,review_by,review_id,location,cost,installation_time,pre_sales_information,install_co-ordination,connection_reliability,tech_support,services,value_for_money,date
Bell,telserv  ,24682,"Thornhill, ON, Canada",30,7,25,25,0,0,25,25,2016-06-24
Bell,Valendite  ,94010,"Windsor, ON, Canada",67,5,50,100,100,,25,0,2016-05-18
Bell,beedle2  ,93468,"East York, ON, Canada",120,3,75,100,100,100,50,50,2016-04-11
Bell,pazzle  ,93920,"Montreal, QC, Canada",120,5,75,75,50,0,0,25,2016-04-11
Bell,techiedude  ,93895,"Richmond, ON, Canada",150,3,100,100,100,0,100,100,2016-04-11
Bell,sensguy09  ,93893,"Sault Ste Marie, ON, Canada",180,120,,,,,,,2016-04-11
Bell,singerie3  ,93177,"Saint-Constant, QC, Canada",172,,100,100,100,100,100,75,2016-03-06
Bell,coachmorin  ,93755,"Sherbrooke, QC, Canada",,,,,,,,,2016-03-06
Bell,wrick9  ,93635,"L'Assomption, QC, Canada",120,10,50,75,100,0,25,25,2016-01-29
Bell,adisor19  ,93626,"Saint-Constant, QC, Canada",60,7,75,50,100,25,,50,2016-01-29
Bell,MXB  ,76208,"Burlington, ON, Canada",55,,50,100,100,75,75,0,2015-12-24
Bell,jaysi  ,93469,"Kitchener, ON, Canada",,2,50,75,75,,75,50,2015-11-17
Bell,shubrown  ,93383,undisclosed location,75,,75,75,75,0,,0,2015-11-17
Bell,secotton  ,60505,"North York, ON, Canada",65,,50,25,75,0,0,50,2015-10-12
Bell,undeclared  ,93245,undisclosed location,172,3,100,100,100,50,50,50,2015-10-12
Bell,zzq4343  ,92929,canada,180,4,50,50,25,25,0,0,2015-09-05
Bell,daeron  ,93170,Ottawa,90,7,100,75,100,100,100,75,2015-09-05
Bell,lorcas  ,93121,"Montreal, QC, Canada",91,,75,100,100,0,50,0,2015-09-05
Bell,derpinternet  ,92937,"North York, ON, Canada",95,5,0,75,100,75,25,25,2015-06-24
Bell,chriscanxp  ,92869,"Dundas, ON, Canada",90,2,,,,,,,2015-06-24
Bell,riksterinto  ,92682,"Toronto, ON, Canada",100,,75,50,25,0,50,25,2015-04-12
Bell,jimgeo68  ,92676,"Pierrefonds, QC, Canada",56,,,,,,,,2015-04-12
Bell,gyp_sy  ,83340,undisclosed location,60,7,75,75,100,,75,25,2015-04-12
Bell,jessegr  ,54905,"Kanata, ON, Canada",45,7,25,50,75,0,25,0,2015-03-07
Bell,ZZink  ,29046,Etobicoke,150,8,25,100,25,25,25,0,2015-01-29
Bell,Abilek  ,92362,"Harrow, ON, Canada",47,,50,75,75,0,50,25,2015-01-29
Bell,Mister_E  ,72241,"Etobicoke, ON, Canada",55,,75,50,100,25,25,0,2015-01-29
Bell,xtreme911  ,55922,"Brampton, ON, Canada",45,,50,50,50,50,50,50,2015-01-29
Bell,kd2he  ,92198,M5V1K5,63,1,50,75,50,50,50,50,2014-12-24
Bell,SpyV  ,91487,"Petawawa, ON, Canada",60,,,,,,,,2014-12-24
Bell,Hot Summer  ,92150,Canada,74,7,50,100,75,50,75,25,2014-12-24
Bell,Max22258  ,92016,"Vankleek Hill, ON, Canada",68,4,,,,,,,2014-11-17
Bell,TannerRyan  ,91270,"Hamilton, ON, Canada",102,,25,50,0,0,50,25,2014-09-05
Bell,bosephus  ,44865,"Smiths Falls, ON, Canada",,,50,25,25,0,50,50,2014-09-05
Bell,Terrific  ,75494,"Cobourg, ON, Canada",40,,50,25,75,0,25,25,2014-09-05
Bell,f00dMonsta  ,91231,Canada,60,,0,0,0,0,0,0,2014-07-31
Bell,miKnutty  ,91526,"Niagara Falls, ON, Canada",75,,0,0,0,0,0,0,2014-07-31
Bell,W16  ,59577,"Foxboro, ON, Canada",34,4,0,25,75,0,0,0,2014-06-24
Bell,Bagnon  ,72001,"St Catharines, ON, Canada",53,,25,25,25,25,25,25,2014-04-12
Bell,pebkac  ,87084,undisclosed location,,,75,100,100,50,75,50,2014-04-12
Bell,sunday8pm  ,87476,undisclosed location,114,10,0,25,100,25,25,25,2014-04-12
Bell,adwanmu  ,89497,"Hoboken, Hudson, NJ, USA",65,,100,75,100,75,50,0,2014-04-12
Bell,thejames  ,89856,"Whitby, ON, Canada",50,,50,75,100,50,75,75,2014-03-06
Bell,rewket  ,40115,"Longueuil, QC, Canada",50,1,75,75,100,0,100,100,2014-03-06
Bell,doc67  ,89473,"Coldwater, ON, Canada",75,,,,,,,,2014-03-06
Bell,mligeza7  ,67783,"Smiths Falls, ON, Canada",95,,50,50,75,50,75,75,2014-01-29
Bell,Kardinal  ,32715,N of 49th,49,4,50,50,75,25,50,0,2013-12-23
Bell,qzcgd  ,89048,canada,125,7,100,75,75,0,100,75,2013-11-17
Bell,Mr_Newb  ,88876,"Montreal, QC, Canada",64,3,0,75,100,25,0,0,2013-11-17
Bell,Bye internet  ,88768,canada,,,0,0,0,0,0,0,2013-11-17
Bell,epy0nxl  ,88730,"Markham, ON, Canada",65,,50,75,100,0,50,0,2013-10-11
Bell,Beaugrand  ,88718,"Acton Vale, QC, Canada",60,999,50,50,0,0,0,0,2013-10-11
Bell,stephen d8  ,54211,"Laval, QC, Canada",35,10,50,50,25,25,25,25,2013-10-11
Bell,Soiduts  ,64960,Ontario,35,6,0,0,0,0,0,0,2013-10-11
Bell,XR999  ,81222,"Peterborough, ON, Canada",50,,0,0,100,0,25,25,2013-09-05
Bell,mand  ,84263,"Chicoutimi, QC, Canada",50,7,75,50,100,75,75,75,2013-09-05
Bell,jonjaques  ,87981,"Brantford, ON, Canada",,5,50,75,100,25,,50,2013-07-30
Bell,allan_london  ,87701,"London, ON, Canada",45,,,,,,,,2013-06-24
Bell,Amou  ,87482,"Guelph, ON, Canada",45,7,100,100,100,100,100,0,2013-05-18
Bell,raphzugen  ,87423,"Quebec, QC, Canada",150,,50,100,100,100,100,75,2013-05-18
Bell,docbill  ,58463,"Stoney Creek, ON, Canada",65,5,75,100,25,75,75,0,2013-04-12
Bell,toro  ,86393,"North York, ON, Canada",57,3,100,100,100,100,100,75,2013-04-12
Bell,maxboha  ,85986,"Acton Vale, QC, Canada",70,700,50,0,75,25,50,50,2013-03-06
Bell,beoneradio  ,86897,"Laval, QC, Canada",56,,0,50,75,0,0,0,2013-03-06
Bell,Furious1964  ,82426,"Dorval, QC, Canada",143,,0,0,0,0,0,0,2013-03-06
Bell,crumbworks  ,72605,"North York, ON, Canada",36,,25,25,75,0,25,50,2013-03-06
Bell,Tristan  ,81118,"Ottawa, ON, Canada",,,0,0,0,0,0,0,2013-03-06
Bell,virago83  ,86786,"Osgoode, ON, Canada",53,5,,,,,,,2013-03-06
Bell,HackneyB  ,86604,Canada,110,,75,50,100,75,25,75,2013-01-29
Bell,maats  ,86415,"Frankford, ON, Canada",49,7,75,25,100,100,100,75,2012-12-23
Bell,waynecbaker  ,47662,"Hamilton, ON, Canada",50,7,75,75,100,75,75,75,2012-12-23
Bell,ns1225  ,80391,"Montreal, QC, Canada",52,3,100,100,100,100,75,25,2012-12-23
Bell,judgeprophet  ,86216,"Delson, QC, Canada",39,,75,75,50,75,50,0,2012-11-17
Bell,Jack_Bauer  ,85216,"Boisbriand, QC, Canada",62,,100,100,100,100,100,100,2012-11-17
Bell,skullan3  ,86110,canada,62,,50,50,75,25,25,0,2012-11-17
Bell,(hidden by request) ,,L4g 7,140,,0,75,25,75,25,0,2012-11-17
Bell,ginternet  ,86025,"Scarborough, ON, Canada",60,,50,75,50,75,50,50,2012-11-17
Bell,UK_Dave  ,80463,"Powassan, ON, Canada",60,,50,50,25,0,0,0,2012-10-11
Bell,KC1215  ,85821,"Mississauga, ON, Canada",63,,25,75,75,0,25,75,2012-10-11
Bell,saeedonweb  ,85614,"Scarborough, ON, Canada",64,,100,100,50,50,75,25,2012-09-05
Bell,againstwall  ,85374,"Laval, QC, Canada",55,,75,100,75,0,25,0,2012-09-05
Bell,fspilot  ,85370,"Scarborough, ON, Canada",63,6,75,75,100,50,75,50,2012-07-30
Bell,Reboot123  ,85214,"Montreal-Nord, QC, Canada",45,,75,100,25,0,25,25,2012-07-30
Bell,ajhaji  ,58017,"North York, ON, Canada",,,100,50,75,75,25,50,2012-07-30
Bell,ruggs  ,85051,Ontario,67,,50,50,100,100,75,25,2012-06-24
Bell,sas  ,84634,"Scarborough, ON, Canada",61,5,25,100,75,50,25,25,2012-06-24
Bell,cloud8521  ,73229,"Scarborough, ON, Canada",150,,25,75,75,25,75,0,2012-06-24
Bell,BliZZardX  ,31305,"Toronto, ON, Canada",54,2,25,25,25,100,100,50,2012-06-24
Bell,(hidden by request) ,,H2X1V,53,,75,0,0,0,25,75,2012-05-18
Bell,Zero Gravity  ,47192,Top Floor,,,0,0,0,0,0,0,2012-04-11
Bell,Rifleman  ,43703,p1a,70,1,0,75,25,50,50,75,2012-03-06
Bell,xfinisherx  ,81508,undisclosed location,47,,50,50,0,0,0,0,2012-01-29
Bell,thebaron  ,41354,"Orleans, ON, Canada",55,14,0,0,0,0,0,0,2012-01-29
Bell,mrhud  ,68088,"Hudson, QC, Canada",50,,50,75,75,75,75,75,2012-01-29
Bell,rockstar71  ,83645,"London, ON, Canada",70,,0,0,0,25,0,0,2011-12-24
Bell,Cposer  ,80490,"Ottawa, ON, Canada",50,,0,25,0,25,0,0,2011-12-24
Bell,Burdy90  ,83362,"Dutton, ON, Canada",,,50,75,0,25,0,0,2011-12-24
Bell,ITMChris  ,83333,"Kitchener, ON, Canada",,,50,0,0,0,0,0,2011-11-17
Bell,djbon2112  ,83200,"Burlington, ON, Canada",120,,50,50,25,50,50,25,2011-11-17
Bell,koopascooper  ,83069,"Wallaceburg, ON, Canada",,,25,0,0,0,0,0,2011-11-17
Bell,dwane1972  ,80365,"Pembroke, ON, Canada",60,,75,75,25,0,50,25,2011-11-17
Bell,iFly55  ,80549,canada,51,,50,50,75,75,75,75,2011-10-12
Bell,DraconicOne  ,82885,"Etobicoke, ON, Canada",59,18,50,0,25,0,25,0,2011-10-12
Bell,bitablespore  ,82782,"Mississauga, ON, Canada",54,8,75,0,100,75,75,75,2011-10-12
Bell,TwentyMBPS  ,65336,"Toronto, ON, Canada",62,7,0,50,100,0,50,0,2011-09-05
Bell,weaslenes  ,67396,"Brantford, ON, Canada",44,,75,75,100,50,50,50,2011-09-05
Bell,RexRonso  ,82449,"Grimsby, ON, Canada",60,3,0,25,25,25,0,0,2011-09-05
Bell,smallj53  ,82461,"Niagara Falls, ON, Canada",50,3,25,0,50,25,50,25,2011-09-05
Bell,navros  ,70705,"Orleans, ON, Canada",20,,75,100,100,25,50,100,2011-07-31
Bell,misternox  ,82165,"Montreal, QC, Canada",43,10,100,100,100,50,75,50,2011-07-31
Bell,Timekiller11  ,82041,"Boucherville, QC, Canada",50,10,50,0,0,0,0,0,2011-07-31
Bell,WEBnut  ,82029,"Belmont, ON, Canada",3390,4,100,100,100,75,100,75,2011-07-31
Bell,rainor94  ,81438,undisclosed location,65,,0,0,0,0,0,0,2011-06-24
Bell,Minus1  ,81948,"Scarborough, ON, Canada",,,0,0,0,0,0,0,2011-06-24
Bell,DKS  ,27174,"Owen Sound, ON, Canada",55,10,100,100,100,75,100,100,2011-06-24
Bell,AndyFactor  ,81716,undisclosed location,,,50,75,100,0,25,0,2011-06-24
Bell,redrain85  ,81688,Canada,66,,75,75,50,0,25,0,2011-06-24
Bell,darius_n  ,81652,"Pointe-Claire, QC, Canada",50,,100,50,25,50,25,50,2011-06-24
Bell,Bootsmom  ,80789,"Ottawa, ON, Canada",112,1,100,100,100,50,100,50,2011-05-19
Bell,dgass  ,81539,"Etobicoke, ON, Canada",,,50,50,25,0,25,0,2011-05-19
Bell,Drekor  ,79957,"Pembroke, ON, Canada",84,7,75,75,50,50,0,0,2011-05-19
Bell,redgrandam  ,81385,"London, ON, Canada",30,,25,50,0,0,0,25,2011-05-19
Bell,BobCat67  ,81351,"Havelock, ON, Canada",55,3,0,50,25,0,0,0,2011-05-19
Bell,Neptune53  ,81279,"Cambridge, ON, Canada",55,,0,50,0,0,0,0,2011-04-12
Bell,lacalau  ,77041,Canada,72,4,25,25,25,0,0,0,2011-04-12
Bell,crt  ,81253,"Kitchener, ON, Canada",40,7,0,0,0,0,0,0,2011-04-12
Bell,Seb8517  ,78975,"Sainte-Marthe-Sur-Le-Lac, QC, Canada",43,60,75,75,75,75,75,75,2011-04-12
Bell,Packet Loss  ,74854,"Brossard, QC, Canada",75,,0,0,0,0,0,0,2011-04-12
Bell,Radiowave  ,80421,"Sault Ste Marie, ON, Canada",34,6,0,0,0,0,0,0,2011-04-12
Bell,anh2  ,81083,"Brampton, ON, Canada",2,,50,50,0,0,0,0,2011-04-12
Bell,main3  ,81058,"Gatineau, QC, Canada",,,75,50,50,0,0,0,2011-04-12
Bell,(hidden by request) ,,l2r6p,74,,25,50,0,25,50,25,2011-04-12
Bell,dragonmama  ,78584,"Smiths Falls, ON, Canada",110,,25,75,50,0,0,0,2011-04-12
Bell,Tig  ,56861,"Carrying Place, ON, Canada",,,,,,,,,2011-03-07
Bell,Dog_Pound  ,80849,"Limoges, ON, Canada",122,,50,50,0,0,0,0,2011-03-07
Bell,hotspikes  ,80799,"Toronto, ON, Canada",50,3,50,75,50,75,25,50,2011-03-07
Bell,phllbit  ,71683,"Owen Sound, ON, Canada",50,7,0,0,0,0,0,0,2011-03-07
Bell,WNGFAN 1  ,80699,"Leamington, ON, Canada",45,7,,,,,,,2011-03-07
Bell,jdgodfrey  ,79399,"North York, ON, Canada",,,75,0,100,100,100,75,2011-03-07
Bell,living87  ,80610,"Dashwood, ON, Canada",,,0,0,50,0,0,0,2011-03-07
Bell,nanook  ,68047,undisclosed location,47,5,25,50,75,0,0,0,2011-03-07
Bell,Gabidg112  ,72980,"Gatineau, QC, Canada",45,,0,0,0,0,0,0,2011-03-07
Bell,Nailbag  ,64551,"London, ON, Canada",40,60,25,0,,0,0,0,2011-03-07
Bell,JimmyJamba  ,80558,"Ottawa, ON, Canada",46,,25,50,75,0,0,0,2011-03-07
Bell,nli07  ,80547,"Etobicoke, ON, Canada",60,,25,25,50,25,0,0,2011-03-07
Bell,corster  ,77221,"Ottawa, ON, Canada",59,,50,50,25,0,25,25,2011-03-07
Bell,BadService7  ,68110,"Montreal, QC, Canada",80,10,25,50,75,0,0,0,2011-03-07
Bell,rijswijk  ,68449,Canada,52,1,0,50,50,0,50,0,2011-03-07
Bell,teletone  ,80414,"Toronto, On",73,,25,50,75,0,50,25,2011-03-07
Bell,sharper  ,80362,"Montreal, QC, Canada",100,,25,75,50,0,0,0,2011-01-29
Bell,wikkedwicky5  ,80321,"Kingston, ON, Canada",100,,0,0,0,,0,0,2011-01-29
Bell,ironsight200  ,79318,undisclosed location,,,,,,,,,2011-01-29
Bell,asudol  ,80227,"Peterborough, ON, Canada",42,5,50,75,0,25,25,25,2011-01-29
Bell,rizzler  ,75443,canada,39,3,100,100,100,100,100,100,2011-01-29
Bell,songeur  ,79961,J0K-2L0,,,50,25,0,0,0,0,2011-01-29
Bell,mmcclure2  ,79948,"Pincourt, QC, Canada",44,,75,75,75,0,75,25,2011-01-29
Bell,Maxh91  ,75030,undisclosed location,55,,50,75,100,75,50,75,2010-12-24
Bell,(hidden by request) ,,h2v4g,46,,50,75,75,50,25,25,2010-12-24
Bell,leeanne172  ,79713,Toronto Ont,65,,,,,,,,2010-12-24
Bell,alwaysbored  ,79580,"Markham, ON, Canada",,,50,25,100,75,50,50,2010-12-24
Bell,zipperhead  ,79377,"Markham, ON, Canada",,,0,25,50,0,0,0,2010-11-17
Bell,funny_one  ,79357,"Rockland, ON, Canada",50,5,100,100,100,100,100,100,2010-11-17
Bell,Bloodlessend  ,79321,"Peterborough, ON, Canada",120,30,25,75,50,25,25,0,2010-11-17
Bell,zacron  ,79284,"Dundas, ON, Canada",88,22,0,0,0,0,0,0,2010-11-17
Bell,DrAkO  ,60810,"Montreal-Nord, QC, Canada",44,1,75,100,100,100,100,50,2010-10-12
Bell,axeman666  ,78919,"Toronto, ON, Canada",116,9,,,,,,,2010-10-12
Bell,vzero8  ,78880,"Scarborough, ON, Canada",,,75,100,75,75,75,25,2010-10-12
Bell,UpsetGuru  ,78797,canada,55,7,0,0,0,0,0,0,2010-10-12
Bell,matrix452  ,78650,undisclosed location,,,0,0,0,0,0,0,2010-09-05
Bell,FiReSTaRT  ,78633,Canada,49,7,25,25,50,0,0,0,2010-09-05
Bell,cableworm  ,78347,"York, ON, Canada",70,,0,0,0,0,0,0,2010-09-05
Bell,Conner03  ,63804,"Whitby, ON, Canada",30,14,75,75,100,75,50,100,2010-09-05
Bell,chex383  ,78369,"Montreal, QC, Canada",55,,50,25,50,50,25,25,2010-07-31
Bell,MathieuB  ,78246,"Montreal, QC, Canada",50,5,75,100,75,100,75,50,2010-07-31
Bell,Stephanie68  ,42073,"Welland, ON, Canada",44,7,50,75,75,25,25,50,2010-07-31
Bell,squircle  ,78205,"Oakville, ON, Canada",55,1,50,100,100,25,75,50,2010-07-31
Bell,Anzio  ,75469,"Innisfil, ON, Canada",35,1,25,100,25,50,25,75,2010-06-24
Bell,mary2010  ,77927,"Mississauga, ON, Canada",76,,50,0,75,0,25,0,2010-06-24
Bell,drcliffs  ,77788,"Oakville, ON, Canada",,,,,,,,,2010-06-24
Bell,CS Centurion  ,77694,"Scarborough, ON, Canada",,,,,,,,,2010-05-18
Bell,Martin  ,50236,"Quebec, QC, Canada",,,100,100,100,100,100,100,2010-05-18
Bell,jsmaster  ,77377,"Anjou, QC, Canada",135,3,,,,,,,2010-04-12
Bell,tayls  ,19430,"Lindsay, ON, Canada",,8,100,75,100,100,100,0,2010-04-12
Bell,dreamer_cast  ,77117,"Holland Landing, ON, Canada",70,2,,,,,,,2010-04-12
Bell,OperaG  ,77048,"Montreal, QC, Canada",45,,75,75,50,25,75,50,2010-03-06
Bell,dah1  ,77014,"Etobicoke, ON, Canada",57,3,50,75,25,50,75,50,2010-03-06
Bell,gigantor28  ,77011,"Markham, ON, Canada",64,,50,50,25,50,25,0,2010-03-06
Bell,renton  ,29324,"Toronto, ON, Canada",50,2,75,75,100,75,50,0,2010-03-06
Bell,jj_frap  ,71558,undisclosed location,40,,0,0,0,0,0,0,2010-03-06
Bell,hormonx  ,71021,Canada,55,14,75,75,100,50,75,50,2010-03-06
Bell,pgfox46  ,76872,"Brampton, ON, Canada",74,,75,75,0,50,0,0,2010-03-06
Bell,imagonex  ,76855,canada,,,,,,,,,2010-03-06
Bell,AlmostBroke  ,76853,undisclosed location,53,,25,50,100,25,100,25,2010-03-06
Bell,avatart0ph  ,76844,"Etobicoke, ON, Canada",50,,75,50,0,25,0,0,2010-03-06
Bell,Grizlurk1  ,76793,"Alfred, ON, Canada",90,7,75,100,75,75,100,75,2010-03-06
Bell,billspicer  ,76623,N9G-2C9,52,10,50,50,75,25,50,50,2010-01-29
Bell,VHS  ,75796,"Scarborough, ON, Canada",34,7,0,0,0,0,0,0,2010-01-29
Bell,XanderLo  ,31389,"Boucherville, QC, Canada",32,5,100,75,100,75,50,100,2010-01-29
Bell,kvnpark  ,63276,"North York, ON, Canada",45,,50,75,50,0,25,0,2010-01-29
Bell,munky99999  ,76441,canada,55,,0,25,50,0,0,0,2010-01-29
Bell,graniterock  ,59440,"London, ON, Canada",48,30,50,0,100,50,75,25,2010-01-29
Bell,mikesirius9  ,76292,"Saint-Ambroise, QC, Canada",33,,100,100,100,,50,100,2010-01-29
Bell,arthur5005  ,76277,Canada,35,,0,0,0,0,0,0,2010-01-29
Bell,J E F F4  ,42726,"Kitchener, ON, Canada",37,2,100,100,50,0,50,50,2010-01-29
Bell,Kringle1  ,41877,"Pierrefonds, QC, Canada",31,2,100,100,75,100,75,50,2009-12-23
Bell,gramps2eight  ,75982,"Windsor, ON, Canada",,,,,,,,,2009-12-23
Bell,EC4  ,64168,"York, ON, Canada",52,5,0,0,100,0,0,0,2009-12-23
Bell,Four Eyes  ,75902,Canada,,,,,,,,,2009-12-23
Bell,(hidden by request) ,,"Toronto, ON, Canada",,,100,100,100,100,100,100,2009-11-17
Bell,speckledfrog  ,75747,"Orangeville, ON, Canada",57,4,50,50,25,25,25,25,2009-11-17
Bell,quanta  ,29562,"Toronto, ON, Canada",45,15,100,25,100,100,75,50,2009-10-11
Bell,Talon88  ,71086,Toronto,30,,25,50,50,50,50,0,2009-10-11
Bell,jwillisbarri  ,61627,"Barrie, ON, Canada",50,7,50,75,100,0,75,75,2009-10-11
Bell,kragop  ,57555,"Scarborough, ON, Canada",50,,50,100,50,0,25,50,2009-10-11
Bell,JHeuer  ,75254,"Brampton, ON, Canada",,3,25,75,50,0,0,0,2009-10-11
